Team brjFEj: 1939652216 points, rank 1
Team NtXFpATbKjxhu: 550890583 points, rank 51183
Team UhhTh: 645763149 points, rank 48443
Team qjaIoJJQFKWSNXLqkc is ELIMINATED
Team PgfwOTFjbFilYxhBCid: 1194484941 points, rank 32089
Team ocHGRhqm: 2117628376 points, rank 5881
Team mTGxibgPYy: 2057229471 points, rank 7525
Team SCElyuJ: 765070214 points, rank 44954
Team wbtOzvYnSwy: 887306599 points, rank 41354
Team OLCvJ: 1509445611 points, rank 22952
Team paepNpoOJfilbgL: 576543166 points, rank 50479
Team jEEZC: 1410002920 points, rank 25831
Team PSvtaJUaUkxKqfNu: 930157511 points, rank 40115
Team EcxOwhvbDWANKudRZBnq: 2506616538 points, rank 2980
Team iSWtToLYAim: 1942090424 points, rank 10667
Team gnBQYLYtvDxrt: 1085604314 points, rank 35411
Team ZHwrtVFIhoYegSweEoEY: 1060583233 points, rank 36199
Team AAwQikSlMTEPfGQcibdM: 1360112891 points, rank 27245
Team sKHtxXsYbHDFKecgvi: 3846202982 points, rank 36
Team YfXamtSyJF: 2019585802 points, rank 8552
Team ofwPrI: 2857507389 points, rank 1525
Team wsVxeN: 82098079 points, rank 64374
Team ahImPSpCQVaJilYuogIw: 1680701164 points, rank 18055
Team nBavAa: 1341890113 points, rank 27794
Team kVcAeb: 2682971518 points, rank 2168
Team DlaJlsJrsv: 212798635 points, rank 60796
Team fmrposyyqZqirW: 2032617143 points, rank 8205
Team NTakjw: 427133154 points, rank 54919
Team sKtoRJnLAXRoUgXepFdl: 647999933 points, rank 48465
Team xgUJSpeyOugCQ: 573234421 points, rank 50608
Team QveOSXVasEFmZs: 474638413 points, rank 53536
Team gRpzvzZzevxPNtJhRw: 1421968485 points, rank 25485
Team MAAhev: 826380938 points, rank 43217
Team RYogCEwWq: 150327993 points, rank 62567
Team UwOrvTW: 1007029588 points, rank 37838
Team YgejwdUTJdiqb: 1605305888 points, rank 20262
Team hhWrMjqtBNTwtXuCWqc: 626964966 points, rank 49089
Team cZrEbQAIzYKTvJrsCvfs: 189480912 points, rank 61441
Team FKesEXXLalPFZ: 1695147182 points, rank 17660
Team oFIYNmDqVITRqhgDM: 879338945 points, rank 41672
Team WCgMArfmUcYPKd: 2122531244 points, rank 5783
Team TmBpxMjdjbMbQMsDvH: 668670231 points, rank 47851
Team SGGoZqIjVuDZ: 544572983 points, rank 51491
Team gsocFghUq: 2415977554 points, rank 3459
Team LpLhutjsGHKfg: 1439456213 points, rank 24975
Team NvxGboJWiFgWpwZ: 34858705 points, rank 65726
Team kCpYYxIXgMv: 1437655502 points, rank 25035
Team VIQhIGegFNhatcniAoH is ELIMINATED
Team WeqkJVtekdAe: 386785103 points, rank 56085
Team hvnmQTXztwxuSbCt: 848552204 points, rank 42588
Team RCKsjNTo: 2045046992 points, rank 7853
Team XcTiW: 1858581579 points, rank 12936
Team KFVJTzXhRMFb: 641756816 points, rank 48713
Team IcxEtiyq: 1302421369 points, rank 29037
Team NbfKOTbUM: 2668877215 points, rank 2237
Team xfVdnt: 1629425649 points, rank 19538
Team KXpSyPsqlcdUJhI: 2664536068 points, rank 2250
Team hOfUHLZYWs: 100644050 points, rank 63967
Team UZqOXHMFiHVmfn: 1779173970 points, rank 15233
Team sIWKECSwhyobqrfTFBaK: 760560563 points, rank 45212
Team bKDsSSAFNRZjCQywz: 581647211 points, rank 50462
Team PaWSDlKYYNSxnJbWII: 1104719976 points, rank 34894
Team faGaaXIW: 2109207441 points, rank 6133
Team nGYurJxyCckayhQifC: 727961438 points, rank 46186
Team sgRvHsTs: 2252230318 points, rank 4466
Team tFzBlvAVbbPgQDXl: 1149237618 points, rank 33565
Team iIbGMJRx: 9902957 points, rank 66451
Team zbJXjNRGCmkAR: 1566424834 points, rank 21386
Team QjmHzfYjlGi: 1649900505 points, rank 18978
Team TzJpQNJh: 1083816276 points, rank 35586
Team mdVOxMoJEMwJZueWfC: 1941755757 points, rank 10708
Team LyhmKtxIgJNASoJcafKD: 1369192376 points, rank 27104
Team IUJAd: 444836177 points, rank 54545
Team qkoFbiarMwVm: 630439347 points, rank 49099
Team fowgXiBtxiEoPMSqmMhA: 30184018 points, rank 65969
Team tFmykznttBotQPB: 2369410840 points, rank 3726
Team IACwSGYYBgnP: 234324179 points, rank 60379
Team trMuBBgakqiuD: 1317388959 points, rank 28629
Team VXjQqVWf: 1481803118 points, rank 23835
Team TZhXbXKucq: 1265647162 points, rank 30193
Team EwQlLU: 823034718 points, rank 43435
Team PjjWVpEJpABtAMANy: 533262165 points, rank 51993
Team vycsqGQrrkYEWzdSjin: 1158029221 points, rank 33346
Team QNzikZTTOyNXFLdYlJhF: 1297339220 points, rank 29260
Team RCcjFydpOvB: 458284377 points, rank 54202
Team PeNwtyAMzgNxTToxUgyb: 542836036 points, rank 51688
Team GgWjYOYpcPHDAVlr is ELIMINATED
Team qGONmuURhPK: 2816990542 points, rank 1662
Team Vbmemsl: 654279045 points, rank 48447
Team UYKlDRcN: 856851720 points, rank 42453
Team GjQWWozmlhNZE: 650930077 points, rank 48549
Team nVoWhVCrQD: 449209384 points, rank 54470
Team RRwyAgrG: 162696229 points, rank 62411
Team gohrOxNZTyzXfknuYunw: 201053386 points, rank 61371
Team pNHLSvATZiwKOgtr: 2020315578 points, rank 8567
Team PQjuQxYKBrCgDRt: 686870434 points, rank 47491
Team SYcmV: 2696816936 points, rank 2124
Team gWbSuJaSCmLbwNqZn: 1438010997 points, rank 25107
Team OFTBZWSsXUMmb: 352025157 points, rank 57179
Team bTkMlBMuDPWFwynno: 1781550044 points, rank 15196
Team lQfBBcmOoyvatnUGR: 1472899368 points, rank 24134
Team jvvsMQHDzCbJmUQxtbE: 224398679 points, rank 60740
Team udBTFXNqn: 447983307 points, rank 54524
Team IzrchTLPODrxnhf: 1664602730 points, rank 18612
Team cHODEHJPSrF: 1778757652 points, rank 15296
Team AuoHipMioKdhL: 842872786 points, rank 42886
Team UOmfjLl: 3125092384 points, rank 828
Team OgNEq is ELIMINATED
Team lKeqzDvapntFexj: 2420357415 points, rank 3446
Team qRyIMAIsdOEESzvcdj: 3421830118 points, rank 330
Team aQmYCgWDyvRxzTaLbz: 1918261497 points, rank 11357
Team ytYvFzimoZqPAloKcS: 900922154 points, rank 41225
Team DakRROxQzAa: 2632282517 points, rank 2389
Team qxmMXI: 1769761289 points, rank 15583
Team QVjvaEJCDjrDrz is ELIMINATED
Team upAtLp: 1162996904 points, rank 33240
Team YsLSwjteDHpIFG: 655565822 points, rank 48470
Team FlUzaYqR: 1155902498 points, rank 33476
Team TTFoWykPnVojxzeVXr: 504785679 points, rank 52916
Team lvqptLj: 1882279354 points, rank 12363
Team XbKuyBhRRO: 1531425973 points, rank 22443
Team RphWrOBFfGPbLM: 1194476940 points, rank 32335
Team UcOsMkVZOWln: 1091651987 points, rank 35433
Team ztLSXIenRdsAGjWaZA: 552646405 points, rank 51502
Team ZyxnLrF: 1004110634 points, rank 38159
Team FWhcMTbZlkhtWSQpx: 139025793 points, rank 63190
Team MoKPxyzFrmkbXJWNknue: 426243485 points, rank 55270
Team UPEVstqtbsqQRrliEs: 221762908 points, rank 60904
Team KJRbSl: 1741902062 points, rank 16408
Team FDRcXWSBBYLeqUSnHs: 1064582967 points, rank 36325
Team pCZGKhbBRP: 1747606011 points, rank 16227
Team xapvtK: 243851270 points, rank 60298
Team atnefmCKMEwRI: 2044208683 points, rank 7919
Team hpuypoKFjMMKdf: 1868975364 points, rank 12731
Team nTJoKbJPgrWTxfIcpYHI: 1004953315 points, rank 38160
Team PozoehJYxAS: 762897295 points, rank 45350
Team MEnbDKHlIgudSfQDMleG: 1066262277 points, rank 36287
Team ugYnHxP: 504257815 points, rank 52994
Team DCVjWJdeGDhUExkUq: 1115278583 points, rank 34745
Team usEpQVCcPeKYj: 1823608382 points, rank 14046
Team zHSfz: 13679484 points, rank 66623
Team ivlJbJ: 1185806538 points, rank 32617
Team wtrwgwlQDATtPqwan: 336341370 points, rank 57757
Team NeHexNHLG: 2014949541 points, rank 8744
Team PgCkICk: 583843435 points, rank 50648
Team UExGFCuXmYyWZEVogb: 732332340 points, rank 46292
Team XtLhOeUMFTDRYgGdjr: 1767182034 points, rank 15693
Team ifFqefyIqlOtAqp is ELIMINATED
Team IqNAsbKohD: 602102712 points, rank 50159
Team NgKKxnQEMud: 1936134371 points, rank 10930
Team TBnUxkEw: 348891162 points, rank 57421
Team zBnuBPw: 763867266 points, rank 45365
Team HmbGEgqKBlxNxQFUFnQ: 228847492 points, rank 60780
Team HMzywGwGkmI: 320430698 points, rank 58255
Team dMdvttBINygfcB: 1361209590 points, rank 27427
Team aoEQlijVgOvDbTbclbl: 1857941007 points, rank 13038
Team XsQrcqyKdvsOw: 3283373913 points, rank 538
Team NqAbBCagPk: 1951552803 points, rank 10482
Team TOnAlrqvRIB: 881312033 points, rank 41903
Team IaKYjEYePdqSbkpvdg: 1739229326 points, rank 16501
Team bTPtWNJKwlSweyTOQxAd: 696739134 points, rank 47399
Team tCQVrmpkvPxj: 2351771490 points, rank 3849
Team gDTSuDjgVS: 1117597703 points, rank 34712
Team YPQbozMPGyhi: 1581875016 points, rank 21079
Team cXeUabjxjgYyeu: 607405218 points, rank 50031
Team SvaNaCnHmdinap: 1759986423 points, rank 15905
Team kyJRwDJVQAqJau: 1711718209 points, rank 17314
Team nXRaKKVgapZgE: 1271883660 points, rank 30131
Team UQwtnnNvyUNMCXaUJWi: 877571440 points, rank 42046
Team vCGrpFGidAXhHfPUK: 1702361304 points, rank 17586
Team UFftJOKSA: 1889052276 points, rank 12208
Team faCTrwrEAFNRJnwoOmd: 414495185 points, rank 55697
Team JcVlwacPnfWMkMtk: 158829917 points, rank 62792
Team wssiVxeMAhPmSt: 1219598511 points, rank 31715
Team aNJpeBvcXLeFqoQZIIcR: 1090568330 points, rank 35542
Team hGxzkuTOmvbiCQf: 1306928238 points, rank 29090
Team eANMmAhdUwina: 1947538373 points, rank 10608
Team fgHVJfoCLlVtHiphQfXe: 259906777 points, rank 59993
Team fdNFeyKbbBcLTyzh: 317826882 points, rank 58406
Team udauVjJLKJgzuMLpjFME: 1283212735 points, rank 29834
Team SkeTBJmeUgJFd: 2070501546 points, rank 7208
Team rXpZDOZRMZ: 528937966 points, rank 52379
Team OeGdoyo: 222615118 points, rank 61065
Team CQJvNOPCUseXhYK: 391715997 points, rank 56398
Team HgWJoMtzTZIa: 511402637 points, rank 52919
Team NynwVvTfvwCMJ: 1939168200 points, rank 10858
Team BXnZsJIzqguqIQGvpBnW: 1027644025 points, rank 37532
Team zAiCywVKsYGgHi: 621891125 points, rank 49674
Team yvUzIM: 68582731 points, rank 65395
Team lSwwKHubmaVKox: 1190487926 points, rank 32565
Team hqrxkleJBuSloeaCxe: 2768510227 points, rank 1859
Team zZCdPcHph: 1479609671 points, rank 24064
Team NNPcBppbQgSWX: 3357126934 points, rank 426
Team HrvgmIwaXI is ELIMINATED
Team QGdEqmDPwsqBZGnTau: 160109281 points, rank 62889
Team WNqnPiNxQ: 88093195 points, rank 64874
Team yidrYiBYlnkschbeGi: 1061371257 points, rank 36573
Team VprcdPVEtJZyHZfVXhT: 625872997 points, rank 49627
Team PztWmsItTe: 1071772592 points, rank 36252
Team qKHZUsEHMJqBI: 1543246890 points, rank 22199
Team ZRgGhoiNZ: 1335820106 points, rank 28298
Team dElak: 932348747 points, rank 40503
Team TVklDTVxIQoAyY: 354406286 points, rank 57488
Team nrpeEc is ELIMINATED
Team ieCoPSxPrlMbTXkJUHq: 2295022860 points, rank 4220
Team eRFKMXCpbegRCQDqMOGJ: 1806946046 points, rank 14589
Team HTIIkkpKj: 1473294495 points, rank 24275
Team wVzlhEjmirPnCHnw: 1706758790 points, rank 17517
Team jJprfFeJV: 25534241 points, rank 66601
Team mIACFKzUQtgXjWY: 1104774296 points, rank 35225
Team kLzZDMpcx: 959513825 points, rank 39688
Team FhfhouA: 1199544954 points, rank 32384
Team cVHethTTgFL: 2248835640 points, rank 4532
Team YuOHUGMvQTg: 716461758 points, rank 46964
Team RWLvaKhefFX: 1174218447 points, rank 33128
Team XfijYtvRxvBSeFQm: 1662635671 points, rank 18806
Team IoBmGgmTeRP: 409878560 points, rank 56009
Team OUGzopbZdpVtmgna: 871733373 points, rank 42377
Team xUHsrwSTYRVuqmu: 1824696573 points, rank 14097
Team kqqxLcq: 83171174 points, rank 65096
Team bogVZCcxYozSvxOzXA: 597445556 points, rank 50519
Team sojiszu: 1039552640 points, rank 37270
Team aYwETaYTrYkdNds: 2017760432 points, rank 8718
Team CDdNPUEcYQxoAUWYV: 492485092 points, rank 53610
Team IponCGHnVQAhlCPL: 282865640 points, rank 59574
Team nMXfuIzlloi: 1049893110 points, rank 36950
Team QWYFjSby: 555911309 points, rank 51752
Team yGhqVhrfkQla: 1154603838 points, rank 33748
Team OIQzNklPgqolhlwvDdwy: 318938795 points, rank 58583
Team YnScVIcPh: 1023462640 points, rank 37791
Team NmFhgCSsIR is ELIMINATED
Team TmHUBnaHkkiYtX is ELIMINATED
Team rtMUvDvxDqgRCgp: 913744299 points, rank 41137
Team KtTGszk: 850622288 points, rank 43014
Team pHNNXNSgPBkzNoxB: 1371516123 points, rank 27299
Team gkRQdeiVGgZhbUlqa: 1057894538 points, rank 36746
Team ytlUWPgQziMwqHwfNdD is ELIMINATED
Team adVZOAiwUZXObTWGbj: 2617704373 points, rank 2464
Team VSojwDvdjbtTRLyNyz: 1996945456 points, rank 9318
Team MPYqcnvYBRiQOYHr: 730746607 points, rank 46621
Team NRqjRuhRfGW: 1109736273 points, rank 35137
Team cpyJSWILHQIpLm: 361616800 points, rank 57435
Team IufXjdtLCWkCUugaMsXc: 1714716028 points, rank 17327
Team OStTgoFFIPqwq: 824892922 points, rank 43821
Team WvfWDwfQOskIuxeToUGk: 867073362 points, rank 42585
Team iEAVhtHTweWjmQ: 1447903344 points, rank 25059
Team uOUdFtsmPBImXHXSqqFQ: 1296784186 points, rank 29574
Team gcsVHZxetGvVFBWRHr: 851750617 points, rank 43031
Team mqszREc: 293239489 points, rank 59388
Team pKBLU: 1680024671 points, rank 18342
Team KAWpBLt: 752762699 points, rank 45994
Team sKYSoCEUBxVBLU: 1887921122 points, rank 12326
Team bwNoYAMo: 720474875 points, rank 46966
Team LPPngUfeGr: 281535746 points, rank 59747
Team XpXUvtOjlHD: 3218964521 points, rank 655
Team gbnOanYE: 1360888170 points, rank 27638
Team rtFHqfL: 140026284 points, rank 63672
Team UQiUcLf: 1074988172 points, rank 36285
Team lMYKsQnjqOIPGklq: 1332315492 points, rank 28504
Team DhgVCuXYOYsakKXzC: 2426683166 points, rank 3440
Team FJRQFCmkleAqCXo: 903631242 points, rank 41544
Team ugNZSeMTxuktPGx: 373546635 points, rank 57177
Team ZfgXFcjbGwgYPtze: 489200515 points, rank 53844
Team MPsiLMmnmM: 554901922 points, rank 51905
Team JwickYbDLtJhawR: 1227825143 points, rank 31689
Team pLdeynji is ELIMINATED
Team YkEqEXPmMarXGmXx: 331808554 points, rank 58346
Team lKWUKVnBN: 3179833251 points, rank 720
Team FcqtDI: 455319525 points, rank 54862
Team ebiPfEgMqXRknQvAkOK: 1016545599 points, rank 38123
Team zytPc: 1483892288 points, rank 24050
Team tHuEjg: 687014455 points, rank 48004
Team aLWHMuxysbnaQSPVfw: 1509953949 points, rank 23308
Team BfIktcc: 1683558157 points, rank 18267
Team wTuJrfYSFswuqqp: 2089117727 points, rank 6771
Team cJnAZoZfvyFecHzr: 2513240918 points, rank 2981
Team UaZcsA: 804259133 points, rank 44517
Team YbJKq: 2063027422 points, rank 7475
Team iPpDtrt: 873488312 points, rank 42480
Team KuCuEWQ: 96190531 points, rank 64982
Team zjzTtCJhwNtakFRGO: 244310217 points, rank 60859
Team XMayuogARfFbikSQGVe: 607310993 points, rank 50431
Team sCCJFRvZpSJCmqMGJmP: 675475322 points, rank 48367
Team STgydXhqWGvyQtC: 691478593 points, rank 47919
Team dOkuYvtZppeJ: 1766280829 points, rank 15845
Team oCQxA: 1844272750 points, rank 13551
Team VGIMoDTUmybMe: 6301024 points, rank 67408
Team oJZyFRtXrlUSkLDwacn: 1200256720 points, rank 32516
Team NitCqRZsm: 1318448603 points, rank 28984
Team rvalxhU: 303051197 points, rank 59272
Team vxGFyQwaxDKkLYqudnDV: 1794361103 points, rank 15007
Team zsEseIlthxgWPtNwz: 1504555295 points, rank 23491
Team TAYXHazhPYghLUuvZe: 769426128 points, rank 45640
Team tmfXehyuI: 409342727 points, rank 56271
Team AxAQYIyhTyyDuzPe: 696307592 points, rank 47826
Team XruwLDZSXyDioODcnBU: 1960153789 points, rank 10351
Team vWDCVsNCizFgnvhjpuMa: 1156608634 points, rank 33857
Team yPBrFqdP: 334300724 points, rank 58399
Team fVMwhvAbDfk: 1399891575 points, rank 26586
Team pzrCFmIGomb: 549085355 points, rank 52206
Team AWUuFKNAowiu: 77917378 points, rank 65595
Team VVehMEG: 106271277 points, rank 64782
Team bbWzPmxhfNjhDuJLyOoD: 1395575454 points, rank 26722
Team LfycwuRb: 1477741451 points, rank 24288
Team PMLIK: 1348117857 points, rank 28097
Team EWjIUVfv: 280314610 points, rank 59949
Team NuleYhLHabTKlBQoVz: 1479646361 points, rank 24241
Team CWCpVu: 1714821639 points, rank 17399
Team XgLQsdQhfMghMjPY: 2100738112 points, rank 6453
Team PCysgQIfoIq: 2067346557 points, rank 7359
Team miettbUcQLYyMZRGjNv: 854987463 points, rank 43093
Team AHpRJdSrYvILiGhxQaQB: 1153167139 points, rank 33974
Team SFlVsinyJdiVfonqxlXB: 1201856891 points, rank 32526
Team mnBGdsLIMl: 875978228 points, rank 42489
Team VJveKpHGHQm: 1963441958 points, rank 10266
Team RQlcGf: 604955072 points, rank 50603
Team stkWfrn: 2419822473 points, rank 3497
Team yfipkoguET: 765830145 points, rank 45817
Team DUyDbiJkOJhYVWh: 560532855 points, rank 51912
Team inWzqBrocn: 1158038408 points, rank 33857
Team GofHpnUtM: 2950408916 points, rank 1232
Team TLvUcX: 626031844 points, rank 50011
Team KNFtLWuKEsCoAL: 1724477398 points, rank 17136
Team sqyPEmzpHbcUTmlFjY: 1897276333 points, rank 12103
Team nScTC: 586363797 points, rank 51170
Team UmEiDa: 2008800097 points, rank 9035
Team fiLYxEwEYlyXBZ: 447833607 points, rank 55274
Team npoJubzp: 2168985697 points, rank 5097
Team VyXwkKlGuGewOSbmZknw: 1114877736 points, rank 35186
Team ZVhXEWuNdhzLLnLvYO: 1132916795 points, rank 34636
Team BupuEx is ELIMINATED
Team vxFMTNgCejjnlH: 2821936417 points, rank 1672
Team xdJkAeqmLS: 676433208 points, rank 48489
Team JbIWgWGjZQCaWl: 1389424950 points, rank 26968
Team XxpELtIASKkyRZh: 2631324941 points, rank 2424
Team QoShQkNPtdXCg: 1267758502 points, rank 30604
Team vCBSZwLphWQGUHeXRkKp: 88348023 points, rank 65426
Team JXZrXUdkQkvLPShbVg: 828437241 points, rank 43958
Team vxNtyBgwuOUyhMVIjP: 1974183025 points, rank 10012
Team VfYJprPxrqiWys: 1829733694 points, rank 14056
Team BYQsXnOihzf: 1715584324 points, rank 17395
Team IUeFkrvMnFYMBTmO: 922505803 points, rank 41149
Team sWNttwrnBb: 977815427 points, rank 39463
Team bOtGyEv: 3023077792 points, rank 1033
Team qlrmW: 2207654352 points, rank 4839
Team UJpveFJmTpPsVnP: 1052766024 points, rank 37140
Team mWiNsYMuTK: 447379840 points, rank 55331
Team xGlzowRgVxxz: 1128474253 points, rank 34782
Team ZKSAvjbWfqz: 999495097 points, rank 38829
Team CfckmYBrFihFTpaYPWO: 884861771 points, rank 42295
Team ZcMGOpGbVYHyuA: 917317325 points, rank 41335
Team mmGFAURJ: 873789213 points, rank 42638
Team jlhSSEVeGWwz: 814372910 points, rank 44389
Team mrGRp: 2024816324 points, rank 8586
Team croQxrtUDrYpwpdGF: 1425885247 points, rank 25886
Team TKLsU: 1447137766 points, rank 25246
Team tvmOAxbdOaTDinGyka: 1569077067 points, rank 21709
Team miVpedRmaFQMTPAO: 220157158 points, rank 61798
Team EpvuKTZknGKxewW: 1115738377 points, rank 35193
Team DFEjcADJvAAuevZjkxh: 1394549812 points, rank 26831
Team YrxXnVKm: 213966990 points, rank 61970
Team vPEvYokkxkzyVjVtSM: 754028971 points, rank 46235
Team CpkRCyq: 2749834010 points, rank 1947
Team mMHfRycxV: 1292534703 points, rank 29893
Team bHGMgDF: 1687636637 points, rank 18251
Team uQqEnU: 349542421 points, rank 58161
Team IcWKgBChkHPknaLGIQc: 2011055026 points, rank 8984
Team XrwgNmrtKMMfVDLcEumA: 1950086654 points, rank 10669
Team VemdXlvZujrVWAbmiA is ELIMINATED
Team eZUzpfu: 1872267693 points, rank 12833
Team jdfebOdik: 291817721 points, rank 59844
Team LzRTaRqPmSxPcywZvs: 690287037 points, rank 48181
Team PZSyBKjPQjtaRdkI: 823475528 points, rank 44173
Team YjypjbZvrJT: 322111183 points, rank 58990
Team LXchBpo: 571673973 points, rank 51699
Team MFxECKsqnk is ELIMINATED
Team OCKHPvXZfXR: 519385723 points, rank 53288
Team QlpIZp: 1882125430 points, rank 12572
Team vQHAzzLLJO: 281352679 points, rank 60142
Team WJSlSTjneGHEGdY: 850571255 points, rank 43366
Team miUXiYIrhjIEXsln is ELIMINATED
Team ZGGznWTibRuCHzAag: 929038633 points, rank 41026
Team yyxICPFYpGy: 1850885941 points, rank 13415
Team udauVjJLKJgzuMLpjFME: 1283212735 points, rank 30223
Team qcuSjsA: 337877067 points, rank 58566
Team woAZEiJliMTSSwgwJR: 701205804 points, rank 47899
Team HmZhMfpXQEmk: 110227418 points, rank 64988
Team dkDOHhvBzMOSdS: 1070056651 points, rank 36725
Team KGziYAgtPWRxK: 1258893070 points, rank 30968
Team KeYqEDHlCYTctXioeEdR: 2549030207 points, rank 2810
Team OTEAB: 1222480112 points, rank 32080
Team RKADURKWIoev: 726354892 points, rank 47174
Team iqStgSUsZjtsVdrSbKvn is ELIMINATED
Team XmXBfLmMSmuawGzfE: 24951427 points, rank 67344
Team FZZxCpdnxIvdvIgqWOZ: 2077756447 points, rank 7117
Team JxDTZvPfg: 574555250 points, rank 51704
Team YwkGoqHlzir: 868679701 points, rank 42889
Team kVnrwLyDfYzVYq: 2064521363 points, rank 7485
Team nSrKxXmbJFiCTIY: 736366722 points, rank 46883
Team WvdeQypnZsww: 264058799 points, rank 60710
Team TKXvxzXLIBQcEWgSZpXs: 510360314 points, rank 53657
Team BvvdJiHHII: 433721757 points, rank 55957
Team WCQmk: 723494808 points, rank 47287
Team cyVWbdeACiMppeNrbc: 1753736278 points, rank 16329
Team ZkpzkYVfitZr: 656478668 points, rank 49307
Team BrsxgDu: 326033236 points, rank 58993
Team tVVLwdVQLxElMVL: 748073448 points, rank 46557
Team OpPLWBkFWDCMDJAv is ELIMINATED
Team kKySH: 251975275 points, rank 61112
Team lWJrHR: 2066406130 points, rank 7435
Team lswMCtxBzWiDkGxtsFF: 683797505 points, rank 48504
Team hqEkpeqqOdZsSgUcv: 636843158 points, rank 49935
Team MLmSzmdili: 668976680 points, rank 48939
Team lNCrV: 191602815 points, rank 62800
Team BIjmy: 1636087358 points, rank 19799
Team PcnIHYmTHw is ELIMINATED
Team peLWKJz: 1469573612 points, rank 24707
Team bqlzbjkyhsTdMYWhlS: 932757163 points, rank 41014
Team eqzhyZi: 2835463458 points, rank 1634
Team YcVaR: 1010421602 points, rank 38630
Team MiJVSbntiYimSdYuh: 500777209 points, rank 53982
Team ChDZxOeK: 1928509978 points, rank 11306
Team BIKhpwEmj: 2077521948 points, rank 7134
Team VsVMpkpFJBlFRQxxu: 422887350 points, rank 56339
Team CrbvrVQwBHI: 1918185307 points, rank 11600
Team AZOltlIMQWVAsNxIB: 2138195675 points, rank 5508
Team cLXFRprMMBr: 450228001 points, rank 55521
Team BzIcpvLAXmFPa: 1274751023 points, rank 30551
Team WwUtq: 904731394 points, rank 41887
Team tQiTOl: 83518598 points, rank 65886
Team pDUXsF: 842491040 points, rank 43734
Team bXVkqTaCnOEG: 441545411 points, rank 55798
Team tlsAXKE: 1004682651 points, rank 38857
Team MjxOHzar: 135191627 points, rank 64435
Team EaoitQw: 182938471 points, rank 63112
Team TCycSiZEYOz: 2128028664 points, rank 5782
Team KSwfAkqvE: 1089029688 points, rank 36180
Team WxCyQXQTFLVDp: 1552145240 points, rank 22259
Team ryxyAntDoXVDlR: 488458492 points, rank 54387
